Season,DayZero,RegionW,RegionX,RegionY,RegionZ
1998,1997-10-27,East,Midwest,Mideast,West
1999,1998-10-26,East,Mideast,Midwest,West
2000,1999-11-01,East,Midwest,Mideast,West
2001,2000-10-30,East,Midwest,Mideast,West
2002,2001-10-29,East,West,Mideast,Midwest
2003,2002-11-04,East,West,Mideast,Midwest
2004,2003-11-03,East,Mideast,Midwest,West
2005,2004-11-01,Chattanooga,Tempe,KansasCity,Philadelphia
2006,2005-10-31,Albuquerque,Cleveland,Bridgeport,San Antonio
2007,2006-10-30,Dallas,Dayton,Fresno,Greensboro
2008,2007-11-05,Greensboro,Spokane,NewOrleans,OklahomaCity
2009,2008-11-03,Berkeley,Trenton,OklahomaCity,Raleigh
2010,2009-11-02,Dayton,Memphis,KansasCity,Sacramento
2011,2010-11-01,Dallas,Spokane,Dayton,Philadelphia
2012,2011-10-31,DesMoines,Fresno,Kingston,Raleigh
2013,2012-11-05,Bridgeport,Norfolk,OklahomaCity,Spokane
2014,2013-11-04,Lincoln,Stanford,Louisville,NotreDame
2015,2014-11-03,Albany,Spokane,Greensboro,OklahomaCity
2016,2015-11-02,Bridgeport,Dallas,Lexington,SiouxFalls
2017,2016-10-31,Bridgeport,OklahomaCity,Lexington,Stockton
2018,2017-10-30,Albany,Spokane,KansasCity,Lexington
2019,2018-11-05,Albany,Chicago,Greensboro,Portland
2020,2019-11-04,NA1,NA2,NA3,NA4
2021,2020-11-02,Alamo,Hemisfair,Mercado,RiverWalk
2022,2021-11-01,Bridgeport,Spokane,Greensboro,Wichita
2023,2022-10-31,TBD,TBD,TBD,TBD
