Season,DayZero,RegionW,RegionX,RegionY,RegionZ
1985,1984-10-29,East,West,Midwest,Southeast
1986,1985-10-28,East,Midwest,Southeast,West
1987,1986-10-27,East,Southeast,Midwest,West
1988,1987-11-02,East,Midwest,Southeast,West
1989,1988-10-31,East,West,Midwest,Southeast
1990,1989-10-30,East,Midwest,Southeast,West
1991,1990-10-29,East,Southeast,Midwest,West
1992,1991-11-04,East,West,Midwest,Southeast
1993,1992-11-02,East,Midwest,Southeast,West
1994,1993-11-01,East,Southeast,Midwest,West
1995,1994-10-31,East,West,Midwest,Southeast
1996,1995-10-30,East,Midwest,Southeast,West
1997,1996-10-28,East,Southeast,Midwest,West
1998,1997-10-27,East,West,Midwest,South
1999,1998-10-26,East,Midwest,South,West
2000,1999-11-01,East,South,Midwest,West
2001,2000-10-30,East,West,Midwest,South
2002,2001-10-29,East,Midwest,South,West
2003,2002-11-04,East,South,Midwest,West
2004,2003-11-03,Atlanta,Phoenix,EastRutherford,StLouis
2005,2004-11-01,Albuquerque,Chicago,Austin,Syracuse
2006,2005-10-31,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,2006-10-30,East,South,Midwest,West
2008,2007-11-05,East,Midwest,South,West
2009,2008-11-03,East,South,Midwest,West
2010,2009-11-02,East,South,Midwest,West
2011,2010-11-01,East,West,Southeast,Southwest
2012,2011-10-31,East,Midwest,South,West
2013,2012-11-05,East,South,Midwest,West
2014,2013-11-04,East,South,Midwest,West
2015,2014-11-03,East,South,Midwest,West
2016,2015-11-02,East,Midwest,South,West
2017,2016-10-31,East,West,Midwest,South
2018,2017-10-30,East,Midwest,South,West
2019,2018-11-05,East,West,Midwest,South
2020,2019-11-04,NA1,NA2,NA3,NA4
2021,2020-11-02,East,West,Midwest,South
2022,2021-11-01,East,West,Midwest,South
2023,2022-10-31,TBD,TBD,TBD,TBD
